author                 , published_at        , updated_at          , like_count, text
@user-ut2mm8hz6f       , 2025-12-15T18:19:26Z, 2025-12-15T18:19:26Z, 2         , "Wunderbare Playlist! Wer weiß, aus welchem Film ist dieses Bild?"
@owen_vk               , 2025-12-13T18:32:12Z, 2025-12-13T18:32:12Z, 1         , I play this video every time I clean my room
@some1154              , 2025-12-12T01:55:03Z, 2025-12-12T01:55:03Z, 5         , "he looks like daniel naroditsky , rip legend."
@shaghayeghasadzadeh295, 2025-12-11T17:07:16Z, 2025-12-11T17:07:16Z, 2         , my first time hearing this songs and immediately followed you on Spotify. really my kind of thing. great job and thank you for creating beautiful art.
@지혀-q2p                , 2025-12-11T07:42:41Z, 2025-12-11T07:42:41Z, 2         , 이런 느낌의 영화 추천 좀
@dhlee2831             , 2025-12-11T03:35:18Z, 2025-12-11T03:35:18Z, 2         , 아니 무슨 이런 쌈뽕간지나는 외국인 아조씨 가수 노래 좋다 생각했는데 채널 주인장이라고요?.. 꼭 대성하시길 바랍니다 제 오늘 노동요 플리에요
@비비요                   , 2025-12-10T14:19:39Z, 2025-12-10T14:19:39Z, 1         , 사진 속 배우가 누군가요?
@KoPianoBeautiful      , 2025-12-09T16:00:57Z, 2025-12-09T16:00:57Z, 1         , 캬 노래 굿!!!
@chaoticmans           , 2025-12-07T17:26:58Z, 2025-12-07T17:26:58Z, 1         , This too shall pass 🥲
@제리32                  , 2025-12-07T14:21:22Z, 2025-12-07T14:21:22Z, 1         , "겨울이 돌아왔다,,"
@dee_0_                , 2025-12-07T04:28:50Z, 2025-12-07T04:28:50Z, 2         , Dec 2025<br>:-)
@hanwha1332            , 2025-12-06T21:43:57Z, 2025-12-06T21:43:57Z, 12        , 이번 여름에 처음 듣게 되었고 겨울되서 다시 들으러 왔습니다
@이용팍-z5u               , 2025-12-06T18:02:20Z, 2025-12-06T18:02:20Z, 1         , 이 플리를 너무 좋아함
@user-kg4by5pl1j       , 2025-12-06T17:29:49Z, 2025-12-06T17:29:49Z, 1         , "I&#39;ll be celebrating this New Year alone. All my &quot;friends&quot; are celebrating it with someone, and I&#39;ll be forgotten, alone at the table. Honestly, I don&#39;t even know who considers me a friend anymore. I can&#39;t visit my family for New Year&#39;s, neither my father nor my mother. Their doors have been closed to me for several years now. My depressive episode has gotten worse than I can remember. Things are going badly at work. Honestly, I don&#39;t know if it will get better.<br>I don&#39;t even have anyone to write about my feelings to, hahaha, I don&#39;t know why I&#39;m writing this here. I hope someone here will have a better life than me."
@방가방가햄토리-e3p           , 2025-12-04T03:43:26Z, 2025-12-04T03:43:26Z, 1         , 들을때마다 제가 다른 차원의 공간으로 이동하는 것같은 느낌은 뭘까요... 이런게 음악인가요... 음악의 힘이란...
@kimchi5049            , 2025-12-03T04:15:54Z, 2025-12-03T04:15:54Z, 1         , "my favorite part about your songs is the little audible whistle of breath before you sing another verse. to me, it&#39;s being alive"
@baranefe4982          , 2025-11-28T18:36:13Z, 2025-11-28T18:36:13Z, 2         , "<a href=""UCkszU2WH9gy1mb0dV-11UJg/E8MfY5u7JPSXkNAP95GAmAE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/E8MfY5u7JPSXkNAP95GAmAE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/E8MfY5u7JPSXkNAP95GAmAE""></a>"
@thinhhuynh4322        , 2025-11-26T14:52:32Z, 2025-11-26T14:52:32Z, 1         , it&#39;s tuch me
@YeonLee-ii5ou         , 2025-11-25T17:28:21Z, 2025-11-25T17:28:21Z, 1         , thx for algoritm
@오렌지-z7o               , 2025-11-25T13:36:10Z, 2025-11-25T13:36:10Z, 2         , 출근하기싫다 글로 적고나니까 더 싫어졌다
@이현-o1z                , 2025-11-24T14:42:33Z, 2025-11-24T14:42:33Z, 2         , ㅅㅂ 심리 오버롤 89다
@jhoffanmaytavalle9293 , 2025-11-21T17:31:00Z, 2025-11-21T17:31:00Z, 1         , "gracias ♥ de verdad gracias, me hacian falta estas canciones en mi vida, como si quisiera que el sol ilumine mi rostro."
@MichaelAbrass         , 2025-11-20T12:33:57Z, 2025-11-20T12:33:57Z, 1         , Your persistence in liking EACH AND EVERY comment here is greatly appreciated.
@millinerflorence9346  , 2025-11-18T15:49:44Z, 2025-11-18T15:49:44Z, 1         , "Tout simplement merci, pour ce moment de calme et d&#39;amour.tres cordialement. Gery"
@BookWormer            , 2025-11-18T12:54:16Z, 2025-11-18T12:54:16Z, 1         , 오늘은 이거 들으면서 자야겠네요. 시작부터 눕혀있는 기분이야
@DeepWaterFrog         , 2025-11-17T20:51:52Z, 2025-11-17T20:51:52Z, 15        , "Everyone is telling their problems. BUT I AM LIKE, WHAT..! if these songs are yours, you&#39;re underrated, if they&#39;re not yours, you&#39;re STILL underrated for finding these. Crazy vibes there.!"
@MrDarkeul             , 2025-11-16T21:26:07Z, 2025-11-16T21:26:07Z, 27        , "To all the people going through hard times in life, you are not alone keep going.<br>The world breaks everyone: the very good, the very gentle, the very brave. And those it doesn’t break, it kills.<br>There is absolutely no shame in being broken. You just pick up the pieces and start rebuilding for a better day"
@김형준-e3x               , 2025-11-16T13:37:14Z, 2025-11-16T13:37:14Z, 8         , "현)고1 입니다. 학업스트레스에 치이고, 인간관계에 한번 더 치이니 살고싶은 생각도 안들고 자고 일어나면 제가 죽어있기를 바라고있어요. 오늘도 독서실에서 공부하고 집가면서 들을 노래를 고르는데 한시인님의 플리가 알고리즘에 떴네요. 평소에도 이런 노래를 즐겨듣는데 한시인님 노래는 더더욱 좋은거같아요. 한시인님 플리에서 위로 얻고 내일도 이 위로 덕분에 아침에 눈을 뜰 용기를 얻은 거 같아요. 정말 감사합니다.. 한시인님 노래를 듣는 다른분들도 항상 행복하시길 바래요"
@brad-0375             , 2025-11-13T18:01:35Z, 2025-11-13T18:01:35Z, 4         , "i just lost my dog,forever,two days ago,novmeber 11th. the pain,the loss,the grief was too real.hey,let me breathe. hey,i wasnt ready to say goodbye. hey,, give me a break. my baby. hey.please. wait, you are only eight years old,wait, please, i am not ready to say goodbye to you. hey,please. wait, 浪浪。 等等我，好吗。让我再摸摸你的头，让我再抱抱你。让我准备好了，我们再说再见，好吗，宝贝。please,baby. my best favprite little dog in the whole wrold. please just wait for me, wait for one more moment, baby. i am not ready to say goodbye. i want to see the last sight of you, i want to sat the last goodbye with you. please,please ,please.please.pease,dont leace me just alone/ i am not ready for the goodbye/.                    baye,i hope you have a good life in the dog&#39;s earth, i am so sorry for this, i didnt give you a happy and good life in your eight years lifettime, i am sorry,see you, see you, 浪浪"
@user-el3wf1ry2d       , 2025-11-09T15:26:03Z, 2025-11-09T15:26:03Z, 1         , rabbit hole 노래가 있는 노래인가요? 어디서 많이 들어봤는데 검색해도 안나와욤
@rumbles_studio        , 2025-11-07T15:51:12Z, 2025-11-07T15:51:12Z, 1         , 아니이게 본인노래셨구나…… 정말 좋읍니자…..
@grimakorea5271        , 2025-11-06T16:05:29Z, 2025-11-06T16:05:29Z, 3         , "헐벗은 논밭을 덮은 눈보라처럼 내 모든 것을 감춰주길 바랬는데, 그런 것은 세상에 없었어요."
@Smileeie              , 2025-11-05T15:19:15Z, 2025-11-05T15:19:15Z, 1         , Chii
@long-faster2896       , 2025-11-04T12:05:24Z, 2025-11-04T12:05:24Z, 0         , M mm
@ngcdwng               , 2025-11-03T14:43:37Z, 2025-11-03T14:43:37Z, 5         , i miss my old me
@boom1116              , 2025-11-02T22:12:57Z, 2025-11-02T22:12:57Z, 1         , "<a href=""https://www.youtube.com/watch?v=M__WZPd2r58&amp;t=390"">6:30</a>"
@blockypanther         , 2025-11-02T16:44:31Z, 2025-11-02T16:44:31Z, 2         , you have a very noice taste in music..thnx
@nujwopqwnb            , 2025-11-02T16:25:54Z, 2025-11-02T16:25:54Z, 1         , "What is the name of the actor smoking in this video? If anyone knows, please tell me!"
@deabok2               , 2025-10-30T09:31:13Z, 2025-10-30T09:31:13Z, 4         , 마음이 좀 아픈 한달이었습니다. 이노래 저노래 듣고있었는데 절 여기로 안내했어요. 사람은 절 알아주지도 않는데 유튜브가 절 알아줬나봐요 . 좋은노래 감사합니다.
@itsylskyxlhljjlluzul  , 2025-10-30T03:13:26Z, 2025-10-30T03:13:26Z, 5         , 이 명곡들을 멜론에서 들을 수 없다는게 실화냐
@takeoff143            , 2025-10-29T07:49:28Z, 2025-10-29T07:49:28Z, 0         , 아 씨발 또 추워진다 다들 감기조심해라
